"(1,""Продукты питания: Мясные продукты"")"
"(2,""Продукты питания: Рыбные продукты"")"
"(3,""Продукты питания: Молочные продукты"")"
"(4,""Продукты питания: Макаронные изделия, крупы, бобовые"")"
"(5,""Продукты питания: Продукты быстрого приготовления"")"
"(6,""Продукты питания: Замороженные продукты"")"
"(7,""Продукты питания: Майонез, кетчуп, соусы"")"
"(8,""Продукты питания: Специи и приправы"")"
"(9,""Кондитерские изделия: Мороженое"")"
"(10,""Кондитерские изделия: Выпечка"")"
"(11,""Кондитерские изделия: Покупные десерты, торты"")"
"(12,""Кондитерские изделия: Шоколадные плитки, батончики"")"
"(13,""Кондитерские изделия: Шоколадные конфеты"")"
"(14,""Кондитерские изделия: Сухарики в упаковке"")"
"(15,""Кондитерские изделия: Орехи в упаковке, ореховые смеси с сухофруктами"")"
"(16,""Кондитерские изделия: Чипсы"")"
"(17,""Кондитерские изделия: Жевательные конфеты, резинка"")"
"(18,""Кондитерские изделия: Драже, леденцы, пластинки, освежающие дыхание"")"
"(19,""Безалкогольные напитки: Прохладительные напитки"")"
"(20,""Безалкогольные напитки: Горячие напитки"")"
"(21,""Безалкогольные напитки: Холодный чай"")"
"(22,""Безалкогольные напитки: Минеральная и покупная питьевая вода"")"
"(23,""Безалкогольные напитки: Фруктовые и овощные соки, нектары, напитки"")"
"(24,""Безалкогольные напитки: Энергетические напитки"")"
"(25,""Безалкогольные напитки: Квас"")"
"(26,""Алкогольные напитки: Алкоголь"")"
"(27,""Курительные принадлежности: Табак и курительные принадлежности"")"
"(28,""Медицина: Медицинские клиники, врачи"")"
"(29,""Фармацевтика: Антисептики"")"
"(30,""Фармацевтика: Антиспазматические препараты"")"
"(31,""Фармацевтика: Витамины и БАДы"")"
"(32,""Фармацевтика: Глазные капли и мази"")"
"(33,""Фармацевтика: Иммуностимулирующие средства"")"
"(34,""Фармацевтика: Контактные линзы"")"
"(35,""Фармацевтика: Лекарства для восстановления функции печени"")"
"(36,""Фармацевтика: Гинекологические средства"")"
"(37,""Фармацевтика: Лекарства от изжоги и боли в желудке"")"
"(38,""Фармацевтика: Мочегонные и урологические средства"")"
"(39,""Фармацевтика: Обезболивающие и жаропонижающие препараты"")"
"(40,""Фармацевтика: Презервативы"")"
"(41,""Фармацевтика: Препараты для лечения кожных заболеваний"")"
"(42,""Фармацевтика: Препараты, способствующие пищеварению"")"
"(43,""Фармацевтика: Противоаллергические средства"")"
"(44,""Фармацевтика: Противогрибковые средства"")"
"(45,""Фармацевтика: Противозачаточные средства"")"
"(46,""Фармацевтика: Сердечно-сосудистые препараты"")"
"(47,""Фармацевтика: Слабительные препараты"")"
"(48,""Фармацевтика: Средства для лечения варикозного расширения вен"")"
"(49,""Фармацевтика: Средства для лечения геморроя"")"
"(50,""Фармацевтика: Средства для лечения нарушений обмена веществ"")"
"(51,""Фармацевтика: Средства для лечения никотиновой зависимости"")"
"(52,""Фармацевтика: Средства для улучшения мозгового кровообращения"")"
